City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Khasan,RU,2021-01-20 01:15:59,42.4308,130.6434,12.07,88,19,3.67
67,Bredasdorp,ZA,2021-01-20 01:15:59,-34.5322,20.0403,60.8,77,25,4.61
68,Bilara,IN,2021-01-20 01:16:00,26.1792,73.7056,54.79,53,0,6.33
69,Ilo,PE,2021-01-20 01:16:00,-17.6394,-71.3375,70.0,81,46,4.59
70,Sol-Iletsk,RU,2021-01-20 01:14:19,51.1631,54.9918,-5.94,91,56,6.91
71,Ovalle,CL,2021-01-20 01:16:00,-30.5983,-71.2003,62.06,66,0,3.02
72,Vestmanna,FO,2021-01-20 01:16:01,62.1564,-7.1664,35.6,87,40,12.66
73,Ryotsu,JP,2021-01-20 01:16:01,38.0833,138.4333,35.6,64,75,16.11
74,Kununurra,AU,2021-01-20 01:16:01,-15.7667,128.7333,84.2,84,100,9.22
75,Hambantota,LK,2021-01-20 01:16:02,6.1241,81.1185,73.4,100,1,2.3
76,Kaitangata,NZ,2021-01-20 01:16:02,-46.2817,169.8464,51.53,76,94,15.73
77,Challans,FR,2021-01-20 01:16:02,46.8436,-1.8749,48.99,93,0,10.36
78,Sinnamary,GF,2021-01-20 01:16:03,5.3833,-52.95,77.13,81,100,13.02
79,Skibbereen,IE,2021-01-20 01:16:03,51.55,-9.2667,50.0,100,75,16.11
80,Charters Towers,AU,2021-01-20 01:16:03,-20.1,146.2667,86.81,51,34,13.87
81,Hobart,AU,2021-01-20 01:12:06,-42.8794,147.3294,70.0,41,20,6.91
82,Sebinkarahisar,TR,2021-01-20 01:16:04,40.2883,38.4236,2.01,87,24,2.95
83,Mataura,NZ,2021-01-20 01:16:04,-46.1927,168.8643,51.01,86,100,11.01
84,Khatanga,RU,2021-01-20 01:16:05,71.9667,102.5,-25.55,86,100,1.7
85,Qui Nhon,VN,2021-01-20 01:15:18,13.7667,109.2333,68.16,79,100,8.19
86,Kodiak,US,2021-01-20 01:16:05,57.79,-152.4072,35.6,87,90,4.61
87,Tuktoyaktuk,CA,2021-01-20 01:16:05,69.4541,-133.0374,3.2,78,90,17.27
88,Cape Town,ZA,2021-01-20 01:14:35,-33.9258,18.4232,66.99,72,20,19.57
89,Tomatlan,MX,2021-01-20 01:16:06,19.9333,-105.25,71.02,84,100,2.59
90,Cherskiy,RU,2021-01-20 01:16:06,68.75,161.3,-42.72,80,100,6.53
91,Bluff,NZ,2021-01-20 01:16:06,-46.6,168.3333,51.01,86,100,11.01
92,Cidreira,BR,2021-01-20 01:16:07,-30.1811,-50.2056,72.37,71,1,13.09
93,Rio Grande,BR,2021-01-20 01:14:54,-32.035,-52.0986,69.01,81,0,10.71
94,Dudinka,RU,2021-01-20 01:16:07,69.4058,86.1778,-38.79,82,100,1.59
95,Pacific Grove,US,2021-01-20 01:16:07,36.6177,-121.9166,66.2,14,1,9.22
96,Kurumkan,RU,2021-01-20 01:16:07,54.3,110.3,-4.25,81,36,4.03
97,Port-Gentil,GA,2021-01-20 01:16:08,-0.7193,8.7815,80.65,74,100,6.82
98,Alofi,NU,2021-01-20 01:16:08,-19.0595,-169.9187,86.0,74,75,3.44
99,Phulji,PK,2021-01-20 01:16:08,26.8825,67.6807,51.49,43,0,3.33
100,Hermanus,ZA,2021-01-20 01:16:08,-34.4187,19.2345,57.99,89,55,12.15
101,Panama City,PA,2021-01-20 01:16:09,8.9936,-79.5197,82.4,74,90,9.22
102,Codrington,AU,2021-01-20 01:16:09,-38.2667,141.9667,66.33,44,0,8.84
103,Victoria,HK,2021-01-20 01:16:09,22.2855,114.1577,64.0,67,100,1.01
104,Mar Del Plata,AR,2021-01-20 01:16:09,-38.0023,-57.5575,68.0,88,0,8.05
105,Nesbyen,NO,2021-01-20 01:16:10,60.5681,9.1027,23.0,95,100,2.04
106,Fallon,US,2021-01-20 01:16:10,39.4735,-118.7774,39.2,30,1,4.61
107,Narsaq,GL,2021-01-20 01:16:10,60.9167,-46.05,39.2,33,20,33.38
108,Verkh-Usugli,RU,2021-01-20 01:16:10,52.7,115.1667,-4.65,89,30,3.04
109,Biak,ID,2021-01-20 01:16:10,-0.9131,122.8766,78.26,81,100,2.84
110,Kalmunai,LK,2021-01-20 01:16:11,7.4167,81.8167,74.43,93,30,10.47
111,Ondjiva,AO,2021-01-20 01:16:11,-17.0667,15.7333,69.46,80,100,0.69
112,Vila Franca Do Campo,PT,2021-01-20 01:16:11,37.7167,-25.4333,59.0,82,40,12.66
113,Guerrero Negro,MX,2021-01-20 01:16:11,27.9769,-114.0611,67.01,61,100,21.23
114,Bubaque,GW,2021-01-20 01:16:11,11.2833,-15.8333,78.93,61,75,8.46
115,Ancud,CL,2021-01-20 01:16:12,-41.8697,-73.8203,62.01,82,20,6.91
116,Fairbanks,US,2021-01-20 01:15:06,64.8378,-147.7164,19.4,79,90,4.61
117,Khorramshahr,IR,2021-01-20 01:16:12,30.4397,48.1664,50.0,87,0,2.3
118,Kuytun,RU,2021-01-20 01:16:12,54.3419,101.5036,0.79,94,100,5.37
119,Saldanha,ZA,2021-01-20 01:16:12,-33.0117,17.9442,62.6,77,0,9.22
120,Longyearbyen,SJ,2021-01-20 01:15:11,78.2186,15.6401,19.4,63,75,17.27
121,Vaini,TO,2021-01-20 01:16:13,-21.2,-175.2,89.6,62,40,8.05
122,Natal,BR,2021-01-20 01:12:52,-5.795,-35.2094,80.6,78,40,9.22
123,Avarua,CK,2021-01-20 01:16:13,-21.2078,-159.775,82.4,78,75,3.44
124,Gat,IL,2021-01-20 01:12:04,31.61,34.7642,51.01,100,100,5.99
125,Pangody,RU,2021-01-20 01:16:14,65.85,74.4859,-24.36,87,77,5.37
126,Orlovskiy,RU,2021-01-20 01:16:14,46.8714,42.0592,1.42,94,33,5.95
127,Entre Rios,BR,2021-01-20 01:16:14,-11.9419,-38.0844,69.84,96,100,3.67
128,Saint George,US,2021-01-20 01:15:56,37.1041,-113.5841,54.0,28,90,13.8
129,Nuuk,GL,2021-01-20 01:11:31,64.1835,-51.7216,39.2,52,90,24.16
130,Yate,GB,2021-01-20 01:16:15,51.5407,-2.4184,53.01,95,100,5.99
131,Phu Ly,VN,2021-01-20 01:13:19,20.5411,105.9139,60.08,75,48,0.43
132,Russell,US,2021-01-20 01:15:27,32.3502,-85.1999,57.2,57,75,2.46
133,New Norfolk,AU,2021-01-20 01:16:16,-42.7826,147.0587,71.01,33,0,1.99
134,Fort Myers Beach,US,2021-01-20 01:15:24,26.452,-81.9481,61.0,81,4,8.01
135,Ozernovskiy,RU,2021-01-20 01:16:17,51.5,156.5167,14.76,81,100,13.78
136,Pontes E Lacerda,BR,2021-01-20 01:16:17,-15.2261,-59.3353,67.89,90,100,1.05
137,Tazovskiy,RU,2021-01-20 01:16:17,67.4667,78.7,-28.5,85,0,6.06
