City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
682,Loa Janan,-0.583,117.095,72.7,97,100,2.68,ID,1/31/2021 22:55,overcast clouds
683,Pahrump,36.2083,-115.9839,59,35,99,1.99,US,1/31/2021 22:53,overcast clouds
684,Chik,54.9928,82.4311,-16.6,83,35,2.24,RU,1/31/2021 22:57,scattered clouds
685,Tromso,69.6496,18.957,25,93,75,3.44,NO,1/31/2021 22:57,light snow
686,Atar,20.5169,-13.0499,70.03,23,95,8.84,MR,1/31/2021 22:57,overcast clouds
687,Banda Aceh,5.5577,95.3222,77,81,47,11.86,ID,1/31/2021 22:57,scattered clouds
688,Taupo,-38.6833,176.0833,77,52,21,2.77,NZ,1/31/2021 22:57,few clouds
689,Upata,8.0086,-62.3989,74.25,76,82,6.87,VE,1/31/2021 22:57,broken clouds
690,Lokosovo,61.1333,74.8167,-1.77,93,99,5.1,RU,1/31/2021 22:57,overcast clouds
691,Talara,-4.5772,-81.2719,76.78,74,28,17.31,PE,1/31/2021 22:57,scattered clouds
692,Champerico,14.3,-91.9167,91.4,52,40,11.5,GT,1/31/2021 22:57,scattered clouds
693,Rosarito,32.3333,-117.0333,66.99,34,75,5.75,MX,1/31/2021 22:57,broken clouds
694,Kandhla,29.3167,77.2667,49.32,47,4,2.73,IN,1/31/2021 22:56,clear sky
695,Pacifica,37.6138,-122.4869,62.01,58,75,4.61,US,1/31/2021 22:57,broken clouds
696,Sevsk,52.1491,34.4926,15.44,97,10,9.35,RU,1/31/2021 22:57,light snow
697,Batagay-Alyta,67.8006,130.4114,-36.27,81,100,1.92,RU,1/31/2021 22:57,overcast clouds
698,Coihaique,-45.5752,-72.0662,78.8,27,20,6.91,CL,1/31/2021 22:57,few clouds
699,Todos Santos,23.45,-110.2167,70,79,84,3.4,MX,1/31/2021 22:53,broken clouds
700,Muroto,33.2833,134.15,41,87,75,9.22,JP,1/31/2021 22:57,broken clouds
701,Thouars,46.976,-0.2151,51.01,1,88,1.01,FR,1/31/2021 22:57,overcast clouds
702,Lichtenburg,-26.152,26.1597,64.04,87,97,5.3,ZA,1/31/2021 22:57,overcast clouds
703,Otyniya,48.7377,24.8611,27.03,97,100,11.01,UA,1/31/2021 22:57,overcast clouds
704,Bad Langensalza,51.1,10.65,26.01,86,0,3.44,DE,1/31/2021 22:57,clear sky
705,Powell River,49.8496,-124.5361,46.4,87,75,11.5,CA,1/31/2021 22:57,broken clouds
706,Adelaide,-34.9333,138.6,71.01,63,0,10.36,AU,1/31/2021 22:57,light rain
707,Oktyabrskoye,43.0645,44.7417,28.4,93,44,6.71,RU,1/31/2021 22:57,scattered clouds
708,Aktau,43.65,51.2,41,87,90,6.71,KZ,1/31/2021 22:57,overcast clouds
709,Jejuri,18.2833,74.1667,66.2,44,0,5.26,IN,1/31/2021 22:57,clear sky
710,Kirakira,-10.4544,161.9205,84.92,71,74,19.64,SB,1/31/2021 22:57,broken clouds
711,Sloboda,51.1421,40.3021,18.43,97,45,7.14,RU,1/31/2021 22:57,scattered clouds
712,Dakar,14.6937,-17.4441,75.2,46,0,11.5,SN,1/31/2021 22:57,clear sky
