City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
207,Guerrero Negro,MX,70.18,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
208,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
215,Basoko,CD,74.01,broken clouds,1.2391,23.616,Flat Hotel La Benediction
216,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
217,Flinders,AU,72.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
224,Rio Grande,BR,78.8,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
230,Nelson Bay,AU,80.01,broken clouds,-32.7167,152.15,Mantra Nelson Bay
231,Port Blair,IN,78.39,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
239,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
241,Paraiso,CR,75.2,scattered clouds,9.8383,-83.8656,Rinconcito Verde
245,Itaqui,BR,76.64,scattered clouds,-29.1253,-56.5531,Biasi
249,Cabo San Lucas,MX,77.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
251,Tibacuy,CO,89.69,overcast clouds,4.3511,-72.4564,hospedaje las palmas
253,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Pirineos
260,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
263,Richards Bay,ZA,77.52,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
268,Namatanai,PG,84.52,light rain,-3.6667,152.4333,Namatanai Hotel
269,Lakes Entrance,AU,70.0,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
271,Mampong,GH,77.99,few clouds,7.0627,-1.4001,Adom Upscale Hotel
272,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
273,Broken Hill,AU,73.4,broken clouds,-31.95,141.4333,Royal Exchange Hotel
278,Comodoro Rivadavia,AR,71.6,scattered clouds,-45.8667,-67.5,Austral Hotel
280,Hobe Sound,US,73.4,scattered clouds,27.0595,-80.1364,Floridays RV Park
281,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
284,Makakilo City,US,82.4,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
292,Esmeraldas,BR,80.6,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
300,Araceli,PH,79.75,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
301,Sabang,ID,81.03,broken clouds,5.8933,95.3214,Hotel Citra
302,Yegros,PY,74.28,scattered clouds,-26.45,-56.4,Bar Hospedaje Caacupe
307,Sao Joao Da Barra,BR,77.85,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
310,Keffi,NG,77.54,clear sky,8.8486,7.8736,Imam Family
314,Karratha,AU,86.9,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
317,Namibe,AO,73.74,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
320,Ontario,US,73.4,broken clouds,34.0633,-117.6509,DoubleTree by Hilton Hotel Ontario Airport
323,Muisne,EC,78.8,broken clouds,0.6,-80.0333,Quinta Samay
333,Inhambane,MZ,79.99,clear sky,-23.865,35.3833,Oceano
337,Buenos Aires,AR,70.0,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
340,Naranjal,EC,86.0,scattered clouds,-2.6667,-79.6167,Media Naranja
342,Morondava,MG,81.73,light rain,-20.2833,44.2833,La Case Bambou
345,Tacuarembo,UY,71.67,overcast clouds,-31.7333,-55.9833,Hotel Orange
347,Boa Vista,BR,86.0,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
349,Labrea,BR,77.18,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
351,Buchanan,LR,78.8,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
354,Sao Filipe,CV,73.27,clear sky,14.8961,-24.4956,Tortuga B&B
355,Koumac,NC,81.82,overcast clouds,-20.5667,164.2833,Le Monitel
358,Guane,CU,75.0,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
361,Inirida,CO,77.34,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
364,Yulara,AU,84.2,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
370,Boyolangu,ID,74.68,light rain,-8.1181,111.8935,Yos ega cv
372,Mariental,nan,77.61,scattered clouds,-24.6333,17.9667,Mariental Hotel
373,Fare,PF,81.59,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
374,Bengkulu,ID,74.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
381,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
389,Santiago Del Estero,AR,70.65,overcast clouds,-27.7951,-64.2615,Hotel Urbano
395,Port Shepstone,ZA,77.11,few clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
399,Isangel,VU,78.8,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
404,Cairns,AU,84.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
405,Tarauaca,BR,71.94,overcast clouds,-8.1614,-70.7656,Flat Temporada
407,Palm Valley,US,73.99,scattered clouds,30.1775,-81.3876,Sawgrass Marriott Golf Resort & Spa
408,Kaeo,NZ,75.99,clear sky,-35.1,173.7833,Bushido Lodge
409,Kathu,TH,84.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
416,Miracema,BR,76.48,overcast clouds,-21.4122,-42.1967,Novo Hotel Varandas
420,Masterton,NZ,70.0,clear sky,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
423,Satun,TH,80.6,broken clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
424,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
430,Mandera,KE,77.23,few clouds,3.9366,41.867,Kornesh Hotel and Lodging
435,Daru,PG,78.98,overcast clouds,-9.0763,143.2092,Daru Lodge
438,Lakatoro,VU,83.79,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
439,Morant Bay,JM,84.2,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
440,Sao Luis,BR,82.4,light rain,-2.5297,-44.3028,Green Hotel
443,Rawson,AR,74.17,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
447,Sena Madureira,BR,73.56,heavy intensity rain,-9.0656,-68.6569,Hotel Central
449,Manaus,BR,82.4,clear sky,-3.1019,-60.025,Hotel do Largo
451,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
452,Sao Luiz Gonzaga,BR,71.29,broken clouds,-28.4083,-54.9608,Xerife Hotel
460,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
462,Gbarnga,LR,73.33,scattered clouds,6.9956,-9.4722,Passion Hotel 2
468,Cap Malheureux,MU,80.01,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
469,Marsh Harbour,BS,71.82,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
472,Arua,UG,71.53,broken clouds,3.0201,30.9111,Golden Courts Hotel
474,Buckeye,US,71.6,broken clouds,33.3703,-112.5838,Buckeye Motor Hotel
475,Angoche,MZ,79.99,overcast clouds,-16.2325,39.9086,Guest House HESADA
478,Teacapan,MX,74.62,scattered clouds,22.55,-105.75,Hotel los Mangos
480,Matamoros,MX,75.2,clear sky,25.5333,-103.25,Quinta Belem
485,Karaton,ID,78.01,mist,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
487,Ecroignard,MU,80.6,scattered clouds,-20.2261,57.7361,La Mirage Residence Guest house
490,Apache Junction,US,72.0,few clouds,33.4151,-111.5496,"Motel 6 Apache Junction, AZ"
493,Baragua,CU,76.53,scattered clouds,21.6967,-78.6328,Hotel Itabo
497,Amahai,ID,80.15,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
498,Begoro,GH,74.57,clear sky,6.3871,-0.3774,MR ODAME
503,Wamba,NG,76.59,clear sky,8.9333,8.6,Roma Zee Guest House Annex
507,Chicama,PE,76.01,clear sky,-7.8447,-79.1469,Hospedaje Punta Cana PERU
509,Alice Springs,AU,86.0,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
510,Talcahuano,CL,71.6,clear sky,-36.7167,-73.1167,Hotel Terramar
513,Buala,SB,84.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
520,Saint-Leu,RE,80.6,few clouds,-21.15,55.2833,La Caz Oceane
522,Santa Cruz,BO,84.2,broken clouds,-17.8,-63.1667,Hotel Cortez
523,Pedernales,DO,79.32,scattered clouds,18.0384,-71.744,Hotel Costa Marina
524,Martapura,ID,75.2,moderate rain,-3.4167,114.85,Montana Hotel Syariah
526,Neiafu,TO,80.6,moderate rain,-18.65,-173.9833,Mystic Sands
528,Constancia,MX,78.8,broken clouds,24.2231,-107.1869,Mi casa
529,Beira,MZ,78.67,clear sky,-19.8436,34.8389,Beira Terrace Hotel
530,Monte Azul,BR,77.27,scattered clouds,-15.155,-42.8747,Hotel Delfino
531,Norsup,VU,83.53,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
533,Axim,GH,79.5,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
536,Takoradi,GH,79.36,scattered clouds,4.8845,-1.7554,Raybow International Hotel
538,Ca Mau,VN,74.14,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
539,Hervey Bay,AU,81.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
544,Yanam,IN,70.25,clear sky,16.7333,82.2167,The Regency Hotel
552,Noumea,NC,81.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
555,Celestun,MX,74.86,clear sky,20.8667,-90.4,Posada Lilia
560,Lorengau,PG,83.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
564,Clarence Town,AU,80.01,broken clouds,-32.5833,151.7833,River Downs Cottage
569,Auki,SB,83.34,overcast clouds,-8.7676,160.7034,Auki Motel
570,Conde,BR,80.6,few clouds,-7.2597,-34.9075,Pousada Beija Flor
573,Ciudad Bolivar,VE,81.28,overcast clouds,8.1222,-63.5497,Hotel Edi
575,Urucui,BR,79.02,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
577,Mackay,AU,81.0,scattered clouds,-21.15,149.2,International Lodge Motel
579,Montecristi,EC,82.4,broken clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
580,Yei,SS,73.24,clear sky,4.095,30.6779,City Link Hotel
584,Assare,BR,75.45,overcast clouds,-6.8744,-39.875,José Xavier de Andrade
586,Manono,CD,71.69,light rain,-7.3,27.4167,Hotel hewa bora
599,Ilebo,CD,71.65,overcast clouds,-4.3167,20.5833,Hôtel des palmes
601,Vanimo,PG,77.67,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
602,High Rock,BS,75.2,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
605,Hobyo,SO,74.77,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
608,America Dourada,BR,72.54,overcast clouds,-11.4553,-41.4361,Pousada do Ninho
612,Miraflores,MX,78.8,clear sky,19.2167,-98.8083,Hotel Mansión
614,Maragogi,BR,77.88,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
622,Sao Felix Do Xingu,BR,74.84,few clouds,-6.6447,-51.995,Rio Xingu Camping
625,Mitsamiouli,KM,82.81,overcast clouds,-11.3847,43.2844,Foyer ADM
628,Imbituba,BR,78.8,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
631,Vaitape,PF,81.57,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
633,Tartagal,AR,74.91,broken clouds,-22.5164,-63.8013,Almuñecar Hotel
636,Bundaberg,AU,77.0,clear sky,-24.85,152.35,Takalvan Motel
641,Jales,BR,73.53,moderate rain,-20.2689,-50.5458,Geraldelli Center Hotel
644,Dubreka,GN,73.87,scattered clouds,9.7911,-13.5233,Hôtel le Semeur Chez Eva
645,Yambio,SS,72.34,clear sky,4.5721,28.3955,Naivasha Hotel
647,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
650,Bowen,AU,77.0,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
652,Ambovombe,MG,80.06,clear sky,-25.1667,46.0833,RELAHARA
653,Yenagoa,NG,79.07,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
654,San Policarpo,PH,79.5,overcast clouds,12.1791,125.5072,JM Lodge
655,Mana,GF,77.31,scattered clouds,5.6592,-53.7767,LE SAMANA
658,Bambari,CF,74.17,clear sky,5.768,20.6757,Hotel-Restaurant BIBICH
660,Alyangula,AU,84.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
662,Mount Isa,AU,89.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
